-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
subject area|related collection of meta-object instance definitions (ISO/IEC 15474-1:2002 Information technology -- CDIF framework -- Part 1: Overview, 4.2)|
subject domain|area of interest or expertise (ISO/IEC/IEEE 24765n:2025, 3.1.189)|
subject domain responsibility|generalized concept that the analyst discovers by asking, &quot;In general, what do instances in this subject domain need to be able to do or to know?&quot; (ISO/IEC/IEEE 24765n:2025, 3.1.190)|
subject-matter expert (SME)|person responsible for providing technical information or for checking the|
submit primitive|service primitive for which the protocol object is the initiating object of the corresponding communication|ISO/IEC 14752:2000 Information technology -- Open Distributed Processing -- Protocol support for computational interactions, 3.3.12
subnetwork|subdivision (fragment) of a project schedule network diagram, usually representing a sub-project or a work package (ISO/IEC/IEEE 24765h:2019)|
subphase|a subdivision of a phase. (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) - - Seventh Edition)|
subprogram|separately compilable, executable component of a computer program (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
subproject|portion of the overall project created when a project is subdivided into more manageable parts|ISO/IEC/IEEE 24765h:2019
subroutine|routine that returns control to the program or subprogram that called it (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
subroutine trace|record of all or selected subroutines or function calls performed during the execution of a computer program and, optionally, the values of parameters passed to and returned by each subroutine or function (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
subscription-based license|license for an entitlement that is for a limited amount of time (ISO/IEC 19770- 3:2016 Information technology--IT asset management--Part 3: Entitlement schema, 3.1.39)|
subsetting|definition or creation of a data subset that includes some but not all data from its sources|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1
substitutability|principle stating that, since each instance of a subclass is an instance of the superclass, an instance of the subclass is acceptable in any context where an instance of the superclass is acceptable (ISO/IEC/IEEE 24765n:2025, 3.1.191)|
subsystem|secondary or subordinate system within a larger system|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
subtype|subset of a data type, obtained by constraining the set of possible values of the data type|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
subtype|meta-entity that inherits all of the meta-attributes and meta-relationships of its immediate and indirect supertype meta-entities|ISO/IEC 15474-2:2002 Information technology -- CDIF framework -- Part 2: Modelling and extensibility, 6.2.5
subtype|relation of type A to type B when every &lt;X&gt; which|
success criteria|set of conditions to be satisfied by a process instance at completion (ISO/IEC 30103:2015|
successful adoption|extent to which the use of CASE tools can measurably meet an organization's uniquely defined adoption goals|ISO/IEC TR 14471:2007 Information technology--Software engineering--Guidelines for the adoption of CASE tools, 2.1.1
succession plan|process for identifying and developing current employees with the potential to fill key positions in the organization|ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of information for users of systems, software, and services, 3.1.30
successor activity|a dependent activity that logically comes after another activity in a schedule (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
suitability|extent to which behaviors or outcomes, or both, of a product meet (satisfy) specified quality requirements when used (ISO/IEC 25019:2023, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality-in-use model, 3.2.1.3)|
suitability|degree to which an IT service meets stated and implied needs when used in a specified context of use (ISO/IEC TS 25011:2017 Information technology--Systems and software Quality Requirements and Evaluation (SQuaRE)--Service quality models, 3.2.1)|
summary activity|a group of related schedule activities aggregated and displayed as a single activity (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
summative evaluation|evaluation designed to present conclusions about the merit or worth of the object of evaluation (ISO/IEC 25022:2016, Systems and software engineering -- Systems and software quality requirements and evaluation (SQuaRE) -- Measurement of quality in use, 4.21)|
sunk cost|cost that is irrecoverable by future actions (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
superclass|class whose instances are specialized into one or more subclasses|ISO/IEC/IEEE 24765n:2025, 3.1.193
superclass|relation between class B and class A, when the type associated with A is a subtype of the type associated with B (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.12)|
supercomputer|class of computers that have the highest processing speeds available at a given time (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
supertype|relation between type B and type A, in which every &lt;X&gt; which satisfies A also satisfies B (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.11)|
supervised learning|task of learning a function that maps an input to an output based on labelled example input-output pairs (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.74)|
supervisor state|in the operation of a computer system, a state in which the supervisory program is executing (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
supervisory program|computer program, usually part of an operating system, that controls the execution of other computer programs and regulates the flow of work in a computer system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
supplemental Ent|Ent which has an &lt;entType&gt; of Supplemental (ISO/IEC 19770-3:2016 Information technology--IT asset management--Part 3: Entitlement schema, 3.1.40)|
supplemental information structure|Information structure that has a subsidiary relationship to another information structure and extends the information in that information structure (ISO/IEC 19770-5:2015 Information technology--IT asset management--Overview and vocabulary, 3.49)|
supplementary run|time interval of the measurement procedure from the time the measurement results fulfill the required statistical significance to the time when all tasks, which were submitted during the rating interval, are completed|ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.17
supplier|organization or individual that enters into an agreement with the acquirer for the supply of a product or service (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.60)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.45
supplier|individual or organization that enters into a contract with the acquirer for the supply of a system, software product or software service under the terms of the contract (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.37)|
supplier|organization or part of an organization or individual that enters into an agreement with the application management organization for the supply of a product, service, materials, or human capacity|ISO/IEC 16350-2015 Information technology--Systems and software engineering-- Application management, 4.34
supplier|individual or organization that provides products (IEC/IEEE 82079-1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.39)|
support|set of activities necessary to ensure that an operational system or component fulfills its original|
support activity group|activity group that is necessary to assure the successful completion of a project, but consists of supporting activities rather than activities directly oriented to the development effort|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
support manager|role responsible for production support in the very small entity who oversees customer relationships and change management within production environments (ISO/IEC 29110-5-1-2:2025 Systems and software engineering Life cycle profiles for very small entities (VSEs) Part 5-1-2: Software engineering guidelines for the generic Basic profile, 3.36)|
support manual|document that provides the information necessary to service and maintain an operational system or component throughout its life cycle (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
support software|software that aids in the development or maintenance of other software|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
support software|software or a program that aids in the development, maintenance, or use of other software or provides general application-independent capability (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
support staff-hour|hour of effort expended by a member of the staff who does not directly define or create the software product, but acts to assist those who do|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
supportability|frequency, scope, and consistency of support actions to establish, preserve, and revise conditions and resources necessary for ongoing use of an in-service system (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
supported product|product to which the information for use relates (IEC/IEEE 82079-1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.40)|
surveillance|systematic iteration of conformity assessment activities as a basis for maintaining the validity of the statement of conformity (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.106)|
survivability|capability of a product to provide essential services in a timely manner despite the presence of attacks (ISO/IEC/IEEE 24765l:2024)|
suspension criteria|criteria used to (temporarily) stop all or a portion of the testing activities|ISO/IEC/IEEE 29119-1:2022, Software and systems engineering--Software testing--Part 1: General concepts, 3.81
sustainment|activities performed to help ensure that a product or service remains operational (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
SUT|system under test|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
SV|schedule variance (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
SVD|software version description|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2
SVG|scalable vector graphics|ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of information for users of systems, software, and services, 3.2
SVM|support vector machine|ISO/IEC/IEEE 24765j:2021
SVR|system verification review|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2
SW|software|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.2
swap|exchange of the contents of two storage areas, usually an area of main storage with an area of auxiliary storage (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
SWEBOK|Software Engineering Body of Knowledge|ISO/IEC/IEEE 16326:2019 Systems and software engineering -- Life cycle processes -- Project management, 3
SWID|software identification (tag)|ISO/IEC 19770-5:2015 Information technology--IT asset management--Overview and vocabulary, 3.40
SWOT|strengths, weaknesses, opportunities, and threats (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
SXF|safety-exempt function|IEEE 7009-2024, Fail-Safe Design of Autonomous and Semi-Autonomous Systems, 3.2
SXS|safety-exempt system|IEEE 7009-2024, Fail-Safe Design of Autonomous and Semi-Autonomous Systems, 3.2
symbol|graphic representation of a concept that has meaning in a specific context|ISO/IEC 2382:2015 Information technology -- Vocabulary
symbol table|table that presents program symbols and their corresponding addresses, values, and other attributes|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
symbolic address|address expressed as a name or label that is translated to the absolute address of the device or storage location to be accessed (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
symbolic execution|software analysis technique in which program execution is simulated using symbols, such as variable names, rather than actual values for input data, and program outputs are expressed as logical or mathematical expressions involving these symbols|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
symbolic language|programming language that expresses operations and addresses in symbols convenient to humans rather than in machine language (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
symbolic trace|record of the source statements and branch outcomes that are encountered when a computer|
symmetric net|high-level Petri net where types are finite and only built-in operations are allowed|ISO/IEC 15909- 1:2019 Systems and software engineering--High-level Petri nets--Part 1: Concepts, definitions and graphical notation, 3.34
synchronize|to pull the changes made in a parent branch into its (evolving) child (for example, feature) branch|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
synchronize|to update a view with the current version of the files in its corresponding branch|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
synchronous|pertaining to two or more processes that depend upon the occurrence of specific events such as common timing|ISO/IEC 2382:2015 Information technology -- Vocabulary
synchronous dynamic random access memory (SDRAM)|DRAM with memory access driven by a clock that is synchronized with the processor's memory bus clock (ISO/IEC/IEEE 24765c:2014)|
synchronous graphics random access memory (SGRAM)|SDRAM designed for the graphics card of a computer|ISO/IEC/IEEE 24765c:2014
synchronous message communication|form of communication in which a producer task sends a message to a consumer task and waits for acknowledgment (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
synchronous message communication with reply|form of communication in which a producer (or client) task sends a message to a consumer (or server) task and waits for a reply (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
synchronous message communication without reply|a form of communication in which a producer task sends a message to a consumer task and waits for the consumer to accept the message (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
synchronous request|request in which the client pauses to wait for completion of the request|ISO/IEC/IEEE 24765l:2024
syntactic error|violation of the structural or grammatical rules defined for a language (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
syntax|structural or grammatical rules that define how the symbols in a language are to be combined to form words, phrases, expressions, and other allowable constructs|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
syntax|definition of the format of information in a CDIF transfer (ISO/IEC 15474-1:2002 Information technology -- CDIF framework -- Part 1: Overview, 4.2)|
syntax testing|specification-based test case design technique based on exercising elements of a formal definition of the test item inputs (ISO/IEC/IEEE 29119-4:2021 Software and systems engineering -- Software testing -- Part 4: Test techniques, 3.46)|
syntax testing|primary syntax defined within the CDIF family of standards (ISO/IEC 15474-1:2002 Information technology -- CDIF framework -- Part 1: Overview, 4.2)|
synthesis|result of combining the constituent elements of separate physical or logical, or both, entities into a single or unified entity|ISO/IEC/IEEE 24748-6:2023 Systems and software engineering Life cycle management Part 6: System and software integration, 3.1.8
SyRS|system requirement specification (ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.2)|
SysML|system modeling language|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
system|combination of interacting elements organized to achieve one or more stated purposes (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.38)|ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.61
system|product of an acquisition process that is delivered to the user|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.1
system|something of interest as a whole or as comprised of parts|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 6.5
system|interacting combination of elements to accomplish a defined objective (ISO/IEC TR 19759:2016 Software Engineering -- Guide to the Software Engineering Body of Knowledge (SWEBOK), 1.1.6)|
system|set of interrelated elements considered in a defined context as a whole and separated from their environment (IEC/IEEE 82079-1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.41)|
system|arrangement of parts or elements that together exhibit a stated behavior or meaning that the individual constituents do not|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.46
system|software or the combination of other components, including hardware and human managed processes (IEEE 7002:2022, IEEE Standard for Data Privacy Process, 3.1)|
system analysis|systematic investigation of a real or planned system to determine the information requirements and processes of the system and how these relate to each other and to any other system (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
system architect|person, team, or organization responsible for a systems architecture, for coordinating engineering effort towards devising solutions to complex problems, and overseeing their implementations|INCOSE Systems Engineering Handbook, 5th ed.
system boundary|conceptual interface between a system and its environment|IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1
system breakdown structure (SBS)|system hierarchy, with identified enabling systems, and personnel that|
system characteristic|attributes or distinguishing features pertaining to a system|IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1
system description|documentation that results from system design defining the organization, essential characteristics and the hardware and software requirements of the system|ISO/IEC 2382:2015 Information technology -- Vocabulary
system design|process of defining the hardware and software architecture, components, modules, interfaces and data for a system to satisfy specified requirements|ISO/IEC 2382:2015 Information technology -- Vocabulary
system design review (SDR)|review conducted to evaluate the manner in which the requirements for a system have been allocated to configuration items, the system engineering process that produced the allocation, the engineering planning for the next phase of the effort, manufacturing considerations, and the planning for production engineering (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
system development|process that usually includes requirements analysis, system design, implementation, documentation and quality assurance|ISO/IEC 2382:2015 Information technology -- Vocabulary
system development cycle|period of time that begins with the decision to develop a system and ends when the system is delivered to its end user (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
system documentation|collection of documents that describe the requirements, capabilities, limitations, design, operation, and maintenance of an information processing system|ISO/IEC 2382:2015 Information technology -- Vocabulary
system effectiveness|a measurement of the ability of a system to satisfy its intended operational uses as a function of how the system performs under anticipated environmental conditions, and the ability to produce, test, distribute, operate, support, train, and dispose of the system throughout its life cycle.|IEEE 1220-2005 IEEE Standard for the Application and Management of the Systems Engineering Process, 3.1.40
system effectiveness analysis|analytical approach used to determine how well a system performs in its intended utilization environment|ISO/IEC/IEEE 24748-7:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.1
system element|discrete part of a system that can be implemented to fulfil specified requirements|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.47
system element|member of a set of elements that constitutes a system (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.62)|
system entity|in Mk II FPA, a contrivance which 'lumps together' all the non-primary entities of an application|ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10
system follow-up|study of the effects of a system after it has reached a stabilized state of operational use (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
system hazard|system condition that is a prerequisite to an accident (IEEE 1228-1994 (R2002) IEEE Standard for Software Safety Plans, 3.1.8)|
system integration|progressive assembling of system components into the whole system|ISO/IEC 2382:2015 Information technology -- Vocabulary
system integration module (SIM)|module in a microcontroller unit (MCU) that controls a system functional unit|ISO/IEC/IEEE 24765e:2015
system interface task|task that hides the interface to and communicates with an external system or subsystem|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
system library|software library containing system-resident software that can be accessed for use or incorporated into other programs by reference (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
system life cycle|the evolution with time of a system-of-interest from conception through to retirement|INCOSE Systems Engineering Handbook, 5th ed.
system life cycle|course of developmental changes through which a system passes from its conception to the termination of its use|ISO/IEC 2382:2015 Information technology -- Vocabulary
system life cycle|period that begins when a system is conceived and ends when the system is no longer available for use (ISO/IEC/IEEE 21840:2019 Systems and software engineering--Guidelines for the utilization of ISO/IEC/IEEE 15288 in the context of system of systems (SoS), 3.1.11)|
system maintenance|modification of a system to correct faults, to improve performance, or to adapt the system to a changed environment or changed requirements|ISO/IEC 2382:2015 Information technology -- Vocabulary
system model|in computer performance evaluation, a representation of a system depicting the relationships between workloads and performance measures in the system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
system of systems (SoS)|set of systems or system elements that interact to provide a unique capability that none of the constituent systems can accomplish on its own|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.49
system of systems (SoS)|set of systems that integrate or interoperate to provide a unique capability that none of the constituent systems can accomplish on its own (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.64)|
system profile|set of measurements used in computer performance evaluation, describing the proportion of time each of the major resources in a computer system is busy, divided by the time that resource is available|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
system requirements review (SRR)|review conducted to evaluate the completeness and adequacy of the|
system requirements specification (SyRS)|structured collection of information that embodies the requirements of the system|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
system requirements specification (SyRS)|structured collection of the requirements (functions, performance, design constraints, and attributes) of the system and its operational environments and external interfaces (ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.1.29)|
system safety|freedom from system hazards|IEEE Std 1228-1994 IEEE Standard for Software Safety Plans, 3.1.9
system safety|ability of a system to be free from unacceptable risk (ISO/IEC 23643:2020, Software and systems engineering-- Capabilities of software safety and security verification tools, 3.25)|
system software|software designed to facilitate the operation and maintenance of a computer system and its associated programs|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
system software|application- independent software that supports the running of application software (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
system specification|documented set of mandatory requirements for a system|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.1
system structure|decomposition of a system of interest into a set of interacting systems and system elements (ISO/IEC 29110-5-6-4:2025, Systems and software engineering Life cycle profiles for very small entities (VSEs) Part 5-6- 4: Systems engineering guidelines for the generic Advanced profile, 3.22)|
system support|continued provision of services and material necessary for the use and improvement of an implemented system (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
system testing|testing conducted on a complete, integrated system to evaluate the system's compliance with its specified requirements (ISO/IEC 29110-5-1-2:2025 Systems and software engineering Life cycle profiles for very small entities (VSEs) Part 5-1-2: Software engineering guidelines for the generic Basic profile, 3.35)|
system under test (SUT)|parts of the CBSS to be tested (ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.18)|
system-of-interest (SOI)|system whose life cycle is under consideration (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.63) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.48) (ISO/IEC/IEEE 21839:2019 Systems and software engineering-- System of systems (SoS) considerations in life cycle stages of a system, 3.1.3)|
system-of-interest (SOI)|specific system that is the focus of some|
systematic failure|failure related in a deterministic way to a certain cause that can only be eliminated by a modification of the design or of the manufacturing process, operational procedures, documentation, or other relevant factors|ISO/IEC/IEEE 15026-1:2019 Systems and software engineering--Systems and software assurance--Part 1: Concepts and vocabulary, 3.4.10
systems development life cycle|activities associated with a systems development, encompassing the systems requirements, design, validation, deployment, maintenance, and end of life (IEEE 7002:2022, IEEE Standard for Data Privacy Process, 3.1)|
systems engineering|interdisciplinary approach governing the total technical and managerial effort required to transform a set of customer needs, expectations, and constraints into a solution and to support that solution throughout its life (ISO/IEC 15940:2013 Systems and software engineering--Software Engineering Environment Services, 2.6) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 4.1.49)|
systems engineering (SE)|interdisciplinary approach governing the total technical and managerial effort required to transform a set of stakeholder needs, expectations, and constraints into a solution, and to support that solution throughout its life (ISO/IEC 15940:2013 Systems and software engineering--Software Engineering Environment Services, 2.6)|ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.65
systems engineering (SE)|transdisciplinary and integrative approach to enable the successful realization, use, and retirement of engineered systems using systems principles and concepts and scientific, technological and management methods (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.50)|
Systems Engineering Plan (SEP)|top level technical plan for managing the systems engineering effort which defines how the technical aspects of the project are organized, structured, and conducted and how the systems engineering processes are controlled to provide a product that satisfies stakeholder requirements (ISO/IEC/IEEE 24748- 4:2016 Systems and software engineering-Life cycle management-Part 4: Systems engineering planning, 4,14)|
systems integration testing|testing conducted on multiple complete, integrated systems to evaluate their ability to communicate successfully with each other and to meet the overall integrated systems' specified requirements|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
systems of systems engineering (SoSE)|process of planning, analyzing, organizing, developing and integrating the capabilities of a mix of existing and new systems, including inter-system infrastructure, facilities, and|
T&E|test and evaluation (ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2)|
T&M|time and material (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
T-DUA|Trader Directory User Agent|ISO/IEC 13235-3:1998 Information technology -- Open Distributed Processing -- Trading Function -- Part 3: Provision of Trading Function using OSI Directory service, 4
T-profile|Transfer profile|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
T-shirt sizing|method of making relative estimates by comparing user stories and dividing these into the categories extra-small, small, medium, large and extra-large (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.47)|
table|more concrete representation of an entity|ISO/IEC 15476-4:2005 Information technology--CDIF semantic metamodel--Part 4: Data models, 6.3
table heading|symbolic name or other means of referencing a decision table from other documents (ISO 5806:1984 Information processing -- Specification of single-hit decision tables, 3.12)|
table of contents|list of the headings in a document in order of appearance, with location indicators (such as page numbers) shown for each heading (ISO/IEC/IEEE 24765a:2011)|
table-driven method|scheme that lets a program look up information in a table rather than using logic statements|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
tacit knowledge|undocumented information (Software Extension to the PMBOK(R) Guide Fifth Edition)|
tacit knowledge|personal knowledge that can be difficult to articulate and share such as beliefs, experience, and insights (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
tag|symbolic name assigned to a specific release or a branch|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
tag|information structure that provides authoritative information about a software asset in order to facilitate its management (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
tag slide|to apply the same tag to a changed version of a file to correct a last-minute error found in a release|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
tagid|globally unique value that is globally unique for every SWID tag created (ISO/IEC 19770-2:2015 (corr 2017), Information technology -- Software asset management -- Part 2: Software identification tag, 3.1.3)|
tailored process|process developed by tailoring a standard process|ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.1.10
tailoring|adaptation of a software process by adding, modifying, and deleting process activities that are deemed inapplicable for the project (Software Extension to the PMBOK(R) Guide Fifth Edition)|
tailoring|process by which individual requirements in specifications, standards, and related documents are evaluated and made applicable to a specific project by selection, and in some exceptional cases, modification of existing or addition of new requirements|ISO/IEC/IEEE 26513:2017 Systems and software engineering--Requirements for testers and reviewers of information for users, 3.38
tailoring|determining the appropriate combination of processes, inputs, tools, techniques, outputs, and life cycle phases to manage a project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
tailoring|manner in which any selected issue is addressed in a particular project (INCOSE Systems Engineering Handbook, 5th ed.)|
tailoring guideline|instructions that enable an organization to adapt standard processes appropriately to meet specific needs (ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.1.11)|
tangibility|degree to which the tangible aspects of the IT service effectively communicate and support the service (ISO/IEC TS 25011:2017 Information technology--Systems and software Quality Requirements and Evaluation (SQuaRE)--Service quality models, 3.2.5)|
target audience|group of persons for whom information for use is intended by the supplier (IEC/IEEE 82079- 1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.42)|
target entity|fundamental thing of relevance to the user, about which information is kept, and which needs to be measured (ISO/IEC 25021:2012 Software engineering--Software product Quality Requirements and Evaluation (SQuaRE)--Quality measure elements, 4.17) (ISO/IEC 25002:2024, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality model overview and usage, 3.30)|
target language|language in which the output from a machine-aided translation process is represented|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
target language|language into which source language content is translated (ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of|
target machine|computer on which a program is intended to execute|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
target machine|a computer being emulated by another computer (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
target node|node associated with the end of an arc|ISO/IEC 15909-2:2011 Software and system engineering-- High-level Petri nets--Part 2: Transfer format, 4.1.18
target of process|system, software product or task executed by system or software product to which measurement or evaluation process is applied (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.39)|
target of verification (TOV)|software or a set of software items or units to be verified, e.g. in terms of safety and security|ISO/IEC 23643:2020, Software and systems engineering--Capabilities of software safety and security verification tools, 3.26
target process profile|process profile specifying which process attributes are required and the rating necessary for each process attribute for a required process|ISO/IEC 33001:2015 Information technology--Process assessment-- Concepts and terminology, 3.2.20
target risk|risk that is intended to be reached|ISO/IEC/IEEE 15026-1:2019 Systems and software engineering-- Systems and software assurance--Part 1: Concepts and vocabulary, 3.3.13
target system|complete computing platform capable of running the target software|ISO/IEC 23643:2020, Software and systems engineering--Capabilities of software safety and security verification tools, 3.28
target system|system to be categorized, which can be an IT system and software, including service provided by IT system (ISO/IEC TR 12182:2015 Systems and software engineering--Framework for categorization of IT systems and software, and guide for applying it, 3.4)|
